Naira/GBP,Naira/USD,Naira/Yuan
243.09,156.2,24.74
242.88,156.21,24.74
241.72,156.21,24.71
241.35,156.21,24.68
240.63,156.33,24.67
241.01,156.33,24.65
239.42,156.2,24.64
238.67,156.2,24.69
239.09,156.2,24.65
238.36,156.2,24.66
239.31,156.2,24.69
239.34,156.35,24.67
240.66,156.35,24.59
241.07,156.35,24.62
242.88,156.5,24.62
242.88,156.5,24.6
242.78,156.35,24.6
244.29,156.35,24.6
244.84,156.35,24.72
245.51,156.55,24.73
246.34,156.55,24.68
245.71,156.2,24.7
246.4,156.2,24.69
246.49,156.2,24.7
246.12,156.2,24.7
247.04,156,24.72
246.56,156,24.69
246.06,156,24.68
245.66,156,24.66
244.91,156,24.66
243.99,155.9,24.61
243.53,155.9,24.63
246.21,155.6,24.6
245.18,155.6,24.59
243.15,155.4,24.59
243.49,155.4,24.58
244.8,155.4,24.59
245.7,155.4,24.57
245.49,155.4,24.58
245.52,155.4,24.59
247.11,155.4,24.58
245.87,155.4,24.56
245.19,155.51,24.53
245.49,155.51,24.54
245.02,155.51,24.56
244.96,155.51,24.51
244.82,155.51,24.5
242.56,155.56,24.48
242.7,155.56,24.5
243.15,155.56,24.52
243.17,155.56,24.52
244.08,155.56,24.52
246.31,155.56,23.88
245.63,155.56,24.61
245.86,155.56,24.58
244.95,155.56,24.55
245.38,155.56,24.58
246.53,155.56,24.58
247.43,155.56,24.58
246.5,155.51,24.61
246.22,155.51,24.59
248.42,155.51,24.59
248.38,155.4,24.59
247.78,155.4,24.54
245.87,155.4,24.54
245.61,155.4,24.54
245.5,155.4,24.54
246.18,155.3,24.56
246.86,155.3,24.49
246.86,155.3,24.55
244.84,155.2,24.55
246.76,155.2,24.55
247.24,155.25,24.53
247.94,155.25,24.53
249.35,155.25,24.53
248.87,155.25,24.47
249.91,155.25,24.51
249.13,155.15,24.51
249.56,155.15,24.52
251.01,155.15,24.53
251.5,155.2,24.53
250.17,155.2,24.53
250.18,155.2,24.53
250.2,155.2,24.52
250.11,155.25,24.51
250.11,155.25,24.52
249.33,155.25,24.47
250.22,155.25,24.48
249.35,155.25,24.47
248.7,155.2,24.46
248.31,155.2,24.44
246.65,155.2,24.44
245.18,155.2,24.46
244.64,155.2,24.42
244.53,155.2,24.38
244.53,155.2,24.38
243.36,155.2,24.39
242.63,155.2,24.34
242.52,155.2,24.3
242.93,155.25,24.29
241.46,155.25,24.32
240.02,155.25,24.31
236.86,155.3,24.33
238.11,155.3,24.33
237.49,155.34,24.3
239.85,155.34,24.32
241.13,155.34,24.31
239.01,155.4,24.32
240.64,155.4,24.31
240.7,155.4,24.33
241.12,155.4,24.36
240.31,155.4,24.37
240.53,155.4,24.35
242.39,155.4,24.34
242.93,155.4,24.33
244.18,155.4,24.34
243.35,155.4,24.34
241.69,155.41,24.37
240.92,155.41,24.37
241.98,155.44,24.38
241.97,155.44,24.4
241.07,155.44,24.39
241.89,155.44,24.4
242.87,155.44,24.37
242.85,155.4,24.34
242.33,155.4,24.3
241.4,155.4,24.33
240.7,155.37,24.32
239.92,155.37,24.3
240.37,155.37,24.51
241.09,155.37,24.28
239.27,155.37,24.3
239.54,155.37,24.31
240.75,155.37,24.3
242.09,155.37,24.3
241.67,155.37,24.25
242.96,155.37,24.25
242.71,155.39,24.23
240.53,155.39,24.25
240.58,155.34,24.26
239.92,155.34,24.27
242.34,155.34,24.33
243.33,155.34,24.31
243.15,155.34,24.32
242.6,155.36,24.99
241.97,155.36,24.29
241.3,155.36,24.32
241.04,155.36,24.33
241.21,155.36,24.35
242.63,155.33,24.34
242.32,155.33,24.33
242.03,155.33,24.35
241.57,155.33,24.33
243.04,155.33,24.32
243.08,155.3,24.34
